"seqnames" "start" "end" "width" "strand" "Conc" "Conc_none" "Conc_ER" "Fold" "p.value" "FDR" "peak" "feature" "start_position" "end_position" "feature_strand" "insideFeature" "distancetoFeature" "shortestDistance" "fromOverlappingOrNearest" "symbol"
"X32225.57113" "chr5" 136772949 136773449 501 "*" 5.11 2.89 5.95 -3.06 3.88e-10 1.48e-06 "32225" "57113" 136213320 136365537 "-" "upstream" -407412 407412 "NearestLocation" "TRPC7"
"X22791.191" "chr20" 34334636 34335136 501 "*" 6.35 4.95 7.05 -2.1 5.46e-10 1.91e-06 "22791" "191" 34280268 34311802 "-" "upstream" -22834 22834 "NearestLocation" "AHCY"
"X38744.137735" "chr8" 106623863 106624363 501 "*" 6.52 4.92 7.26 -2.33 7.83e-10 2.52e-06 "38744" "137735" 106759483 106770245 "-" "downstream" 146382 135120 "NearestLocation" "ABRA"
"X28870.647323" "chr3" 193879367 193879867 501 "*" 8.33 6.94 9.02 -2.08 9.24e-10 2.77e-06 "28870" "647323" 193957372 194003659 "-" "downstream" 124292 77505 "NearestLocation" "LINC02026"
"X12109.9950" "chr14" 93017325 93017825 501 "*" 4.31 1.64 5.19 -3.55 1.71e-09 4.76e-06 "12109" "9950" 92794231 92839963 "+" "downstream" 223094 177362 "NearestLocation" "GOLGA5"
"X21162.11227" "chr2" 157269053 157269553 501 "*" 5.24 3.68 5.97 -2.29 2.11e-09 5.52e-06 "21162" "11227" 157257598 157314211 "+" "inside" 11455 11455 "NearestLocation" "GALNT5"
"X31625.6902" "chr5" 77861516 77862016 501 "*" 8.15 6.64 8.87 -2.23 2.42e-09 5.95e-06 "31625" "6902" 77691166 77868780 "-" "inside" 7264 6764 "NearestLocation" "TBCA"
"X29741.84803" "chr4" 83651412 83651912 501 "*" 5.27 3.21 6.09 -2.87 3.46e-09 8.06e-06 "29741" "84803" 83535914 83605875 "+" "downstream" 115498 45537 "NearestLocation" "GPAT3"
"X22299.150681" "chr2" 240069902 240070402 501 "*" 5.3 3.34 6.1 -2.76 4.28e-09 9.26e-06 "22299" "150681" 240045077 240046072 "-" "upstream" -23830 23830 "NearestLocation" "OR6B3"
"X685.1503" "chr1" 40923609 40924109 501 "*" 5.24 3.39 6.03 -2.64 4.42e-09 9.26e-06 "685" "1503" 40979335 41012565 "+" "upstream" -55726 55226 "NearestLocation" "CTPS1"
"X28300.730091" "chr3" 156812366 156812866 501 "*" 6.36 4.89 7.07 -2.18 4.96e-09 9.56e-06 "28300" "730091" 156747346 156817062 "-" "inside" 4696 4196 "NearestLocation" "LINC00886"
"X19226.9687" "chr2" 11498462 11498962 501 "*" 5.63 3.85 6.4 -2.55 5.02e-09 9.56e-06 "19226" "9687" 11482341 11642788 "+" "inside" 16121 16121 "NearestLocation" "GREB1"
"X21028.8942" "chr2" 142980197 142980697 501 "*" 5.42 3.81 6.16 -2.35 1.12e-08 2.04e-05 "21028" "8942" 142877498 143055832 "+" "inside" 102699 75135 "NearestLocation" "KYNU"
"X23399.284751" "chr20" 50284651 50285151 501 "*" 5.88 4.22 6.63 -2.41 1.67e-08 2.84e-05 "23399" "284751" 50292720 50314922 "+" "upstream" -8069 7569 "NearestLocation" "LINC01270"
"X19230.100616469" "chr2" 11539425 11539925 501 "*" 5.12 3.33 5.89 -2.56 1.75e-08 2.84e-05 "19230" "100616469" 11540605 11540677 "-" "downstream" 1252 680 "NearestLocation" "MIR4429"
"X33211.3720" "chr6" 15036545 15037045 501 "*" 6.17 4.5 6.92 -2.42 1.76e-08 2.84e-05 "33211" "3720" 15246296 15522040 "+" "upstream" -209751 209251 "NearestLocation" "JARID2"
"X27906.7200" "chr3" 129971414 129971914 501 "*" 5.45 3.89 6.18 -2.29 1.92e-08 2.98e-05 "27906" "7200" 129974305 129977938 "+" "upstream" -2891 2391 "NearestLocation" "TRH"
"X17778.4092" "chr18" 48990796 48991296 501 "*" 7.25 5.88 7.95 -2.07 2.49e-08 3.62e-05 "17778" "4092" 48919853 48950711 "-" "upstream" -40085 40085 "NearestLocation" "SMAD7"
"X25500.9620" "chr22" 46491937 46492437 501 "*" 4.99 3.35 5.74 -2.38 2.5e-08 3.62e-05 "25500" "9620" 46360834 46537170 "-" "inside" 45233 44733 "NearestLocation" "CELSR1"
"X37561.57604" "chr8" 13156937 13157437 501 "*" 4.66 2.95 5.41 -2.47 2.79e-08 3.89e-05 "37561" "57604" 12945642 13031503 "+" "downstream" 211295 125434 "NearestLocation" "KIAA1456"
"X35399.155185" "chr7" 2689034 2689534 501 "*" 7.77 6.29 8.49 -2.19 2.89e-08 3.91e-05 "35399" "155185" 2679522 2716529 "+" "inside" 9512 9512 "NearestLocation" "AMZ1"
"X6532.744" "chr11" 30521636 30522136 501 "*" 7.42 6.19 8.07 -1.88 3.73e-08 4.88e-05 "6532" "744" 30384493 30586872 "-" "inside" 65236 64736 "NearestLocation" "MPPED2"
"X36543.100130771" "chr7" 105639949 105640449 501 "*" 5.18 3.71 5.89 -2.18 5.17e-08 6.56e-05 "36543" "100130771" 105565120 105600875 "-" "upstream" -39074 39074 "NearestLocation" "EFCAB10"
"X22266.51052" "chr2" 237558736 237559236 501 "*" 5.99 4.69 6.67 -1.98 6.9e-08 8.5e-05 "22266" "51052" 237566574 237567175 "+" "upstream" -7838 7338 "NearestLocation" "PRLH"
"X9334.100302289" "chr12" 97500517 97501017 501 "*" 5.11 3.5 5.85 -2.35 8.36e-08 1e-04 "9334" "100302289" 97491900 97491983 "+" "downstream" 8617 8534 "NearestLocation" "MIR1251"
"X15282.100506542" "chr16" 86193759 86194259 501 "*" 8.08 6.77 8.75 -1.98 8.8e-08 0.000102 "15282" "100506542" 86196181 86199720 "+" "upstream" -2422 1922 "NearestLocation" "LINC01082"
"X27723.100506826" "chr3" 123637041 123637541 501 "*" 6.11 4.79 6.79 -2 9.69e-08 0.00011 "27723" "100506826" 123585542 123644568 "+" "inside" 51499 7027 "NearestLocation" "MYLK-AS1"
"X15231.23199" "chr16" 85465914 85466414 501 "*" 5.91 4.56 6.6 -2.03 1.01e-07 0.000111 "15231" "23199" 85611409 85676204 "+" "upstream" -145495 144995 "NearestLocation" "GSE1"
"X32384.153770" "chr5" 146027760 146028260 501 "*" 5.47 4.07 6.16 -2.09 1.06e-07 0.000114 "32384" "153770" 146084386 146104369 "-" "downstream" 76609 56126 "NearestLocation" "PLAC8L1"
"X22662.79953" "chr20" 24649948 24650448 501 "*" 5.44 3.96 6.16 -2.2 1.34e-07 0.00014 "22662" "79953" 24469199 24666616 "+" "inside" 180749 16168 "NearestLocation" "SYNDIG1"
"X7914.65125" "chr12" 725052 725552 501 "*" 5.78 4.14 6.53 -2.39 1.58e-07 0.000162 "7914" "65125" 752593 911452 "+" "upstream" -27541 27041 "NearestLocation" "WNK1"
"X4226.100847086" "chr10" 436072 436572 501 "*" 5.05 3.58 5.76 -2.18 2.1e-07 0.000208 "4226" "100847086" 641689 641778 "-" "downstream" 205706 205117 "NearestLocation" "MIR5699"
"X14828.55066" "chr16" 70136563 70137063 501 "*" 5.57 4.1 6.28 -2.18 2.15e-07 0.000208 "14828" "55066" 70113626 70162537 "+" "inside" 22937 22937 "NearestLocation" "PDPR"
"X10995.10202" "chr14" 23665302 23665802 501 "*" 6.92 5.62 7.59 -1.97 2.18e-07 0.000208 "10995" "10202" 23630115 23645639 "+" "downstream" 35187 19663 "NearestLocation" "DHRS2"
"X5138.23555" "chr10" 69439288 69439788 501 "*" 4.45 2.57 5.24 -2.67 2.49e-07 0.000228 "5138" "23555" 69451473 69507669 "+" "upstream" -12185 11685 "NearestLocation" "TSPAN15"
"X454.57190" "chr1" 25757062 25757562 501 "*" 5.59 4.12 6.31 -2.19 2.57e-07 0.000228 "454" "57190" 25800176 25823308 "+" "upstream" -43114 42614 "NearestLocation" "SELENON"
"X20133.51002" "chr2" 73750555 73751055 501 "*" 4.86 3.45 5.56 -2.11 2.59e-07 0.000228 "20133" "51002" 73729104 73737400 "-" "upstream" -13155 13155 "NearestLocation" "TPRKB"
"X19218.285150" "chr2" 11122336 11122836 501 "*" 6.24 4.83 6.94 -2.11 2.61e-07 0.000228 "19218" "285150" 11105317 11132821 "-" "inside" 10485 9985 "NearestLocation" "FLJ33534"
"X23861.102723590" "chr20" 57049515 57050015 501 "*" 6.91 5.95 7.48 -1.53 2.89e-07 0.000247 "23861" "102723590" 57214872 57215866 "+" "upstream" -165357 164857 "NearestLocation" "BMP7-AS1"
"X22278.140739" "chr2" 237940674 237941174 501 "*" 4.95 3.41 5.68 -2.27 3.04e-07 0.00025 "22278" "140739" 237966827 238042782 "+" "upstream" -26153 25653 "NearestLocation" "UBE2F"
"X33048.285780" "chr6" 6748368 6748868 501 "*" 7 6.09 7.55 -1.46 3.04e-07 0.00025 "33048" "285780" 6346465 6622771 "-" "upstream" -125597 125597 "NearestLocation" "LY86-AS1"
"X41184.114789" "chr9" 128026644 128027144 501 "*" 6.33 5.01 7 -1.99 3.24e-07 0.000261 "41184" "114789" 128068201 128109245 "+" "upstream" -41557 41057 "NearestLocation" "SLC25A25"
"X5035.983" "chr10" 60848748 60849248 501 "*" 5.79 4.54 6.45 -1.91 4.09e-07 0.000323 "5035" "983" 60778331 60794852 "+" "downstream" 70417 53896 "NearestLocation" "CDK1"
"X14271.105369154" "chr16" 15489233 15489733 501 "*" 7.38 6.22 8.02 -1.8 4.2e-07 0.000326 "14271" "105369154" 15104723 15131601 "-" "upstream" -357632 357632 "NearestLocation" "PKD1P6-NPIPP1"
"X6965.283130" "chr11" 65379786 65380286 501 "*" 7.52 6.06 8.23 -2.17 4.63e-07 0.000353 "6965" "283130" 65375192 65383701 "-" "inside" 3915 3415 "NearestLocation" "SLC25A45"
"X22498.100379174" "chr20" 14950545 14951045 501 "*" 5.71 4.35 6.4 -2.05 4.82e-07 0.00036 "22498" "100379174" 14884253 14929515 "-" "upstream" -21030 21030 "NearestLocation" "MACROD2-AS1"
"X32131.553103" "chr5" 132378524 132379024 501 "*" 5.19 3.78 5.89 -2.11 4.99e-07 0.000367 "32131" "553103" 132311285 132369916 "-" "upstream" -8608 8608 "NearestLocation" "MIR3936HG"
"X9640.100287569" "chr12" 116495229 116495729 501 "*" 7.26 6.06 7.9 -1.84 5.23e-07 0.000372 "9640" "100287569" 116533422 116536518 "+" "upstream" -38193 37693 "NearestLocation" "LINC00173"
"X8146.5800" "chr12" 15243112 15243612 501 "*" 6.12 4.85 6.79 -1.94 5.24e-07 0.000372 "8146" "5800" 15322397 15597399 "+" "upstream" -79285 78785 "NearestLocation" "PTPRO"
"X37754.84750" "chr8" 33244995 33245495 501 "*" 8.03 6.86 8.67 -1.81 5.97e-07 0.000417 "37754" "84750" 33370824 33473422 "-" "downstream" 228427 125329 "NearestLocation" "FUT10"
"X1474.127003" "chr1" 109151214 109151714 501 "*" 7.33 5.85 8.04 -2.19 6.78e-07 0.000465 "1474" "127003" 109105951 109113857 "-" "upstream" -37357 37357 "NearestLocation" "C1orf194"
"X32201.101927953" "chr5" 135127298 135127798 501 "*" 6.59 5.54 7.19 -1.66 7.35e-07 0.000486 "32201" "101927953" 135038831 135040047 "-" "upstream" -87251 87251 "NearestLocation" "C5orf66-AS1"
"X29827.401145" "chr4" 90160008 90160508 501 "*" 5.7 4.32 6.39 -2.07 7.45e-07 0.000486 "29827" "401145" 90127535 91601913 "+" "inside" 32473 32473 "NearestLocation" "CCSER1"
"X20917.344148" "chr2" 133492912 133493412 501 "*" 5.76 4.39 6.45 -2.06 7.51e-07 0.000486 "20917" "344148" 132671799 133568463 "-" "inside" 75551 75051 "NearestLocation" "NCKAP5"
"X7571.5241" "chr11" 101299176 101299676 501 "*" 4.87 3.4 5.59 -2.18 7.54e-07 0.000486 "7571" "5241" 101029624 101130524 "-" "upstream" -168652 168652 "NearestLocation" "PGR"
"X37650.1960" "chr8" 22748172 22748672 501 "*" 5.79 4.67 6.41 -1.75 1.35e-06 0.000858 "37650" "1960" 22687659 22693302 "-" "upstream" -54870 54870 "NearestLocation" "EGR3"
"X4158.200159" "chr1" 244302952 244303452 501 "*" 5.19 3.92 5.85 -1.93 1.46e-06 0.000915 "4158" "200159" 244352635 244389663 "+" "upstream" -49683 49183 "NearestLocation" "C1orf100"
"X35868.58498" "chr7" 44153429 44153929 501 "*" 5.64 4.27 6.33 -2.06 1.7e-06 0.00104 "35868" "58498" 44138864 44141332 "-" "upstream" -12097 12097 "NearestLocation" "MYL7"
"X25394.8911" "chr22" 39653433 39653933 501 "*" 4.28 2.57 5.04 -2.47 1.78e-06 0.00108 "25394" "8911" 39570753 39689737 "+" "inside" 82680 35804 "NearestLocation" "CACNA1I"
"X10813.100885782" "chr13" 108919250 108919750 501 "*" 6.05 4.84 6.7 -1.85 1.93e-06 0.00115 "10813" "100885782" 109163902 109201483 "-" "downstream" 282233 244152 "NearestLocation" "MYO16-AS1"
"X4269.10531" "chr10" 3289754 3290254 501 "*" 5.45 4.15 6.12 -1.97 1.97e-06 0.00116 "4269" "10531" 3137728 3172841 "-" "upstream" -116913 116913 "NearestLocation" "PITRM1"
"X7679.283143" "chr11" 115941509 115942009 501 "*" 5.37 4.19 6.01 -1.81 2.01e-06 0.00117 "7679" "283143" 115754248 115760627 "-" "upstream" -180882 180882 "NearestLocation" "LINC00900"
"X11457.23002" "chr14" 59184936 59185436 501 "*" 7.64 6.44 8.28 -1.84 2.06e-06 0.00118 "11457" "23002" 59188646 59371405 "+" "upstream" -3710 3210 "NearestLocation" "DAAM1"
"X22833.100527943" "chr20" 36587190 36587690 501 "*" 5.18 3.67 5.9 -2.23 2.17e-06 0.00123 "22833" "100527943" 36574553 36612384 "+" "inside" 12637 12637 "NearestLocation" "TGIF2-C20orf24"
"X12566.100130111" "chr15" 29822858 29823358 501 "*" 5.72 4.64 6.33 -1.69 2.61e-06 0.00146 "12566" "100130111" 29674990 29679168 "+" "downstream" 147868 143690 "NearestLocation" "LOC100130111"
"X8711.9840" "chr12" 54933436 54933936 501 "*" 6.18 5.16 6.76 -1.6 2.75e-06 0.00151 "8711" "9840" 54948018 54984746 "-" "downstream" 51310 14082 "NearestLocation" "TESPA1"
"X10138.646625" "chr13" 28035077 28035577 501 "*" 5.47 4.33 6.09 -1.76 2.84e-06 0.00154 "10138" "646625" 27977714 27988654 "-" "upstream" -46423 46423 "NearestLocation" "URAD"
"X33582.100507584" "chr6" 33896887 33897387 501 "*" 5.03 3.84 5.67 -1.83 2.96e-06 0.00158 "33582" "100507584" 33867506 33896914 "-" "overlapStart" 27 27 "NearestLocation" "LINC01016"
"X12111.9950" "chr14" 93045060 93045560 501 "*" 4.6 3 5.33 -2.33 2.98e-06 0.00158 "12111" "9950" 92794231 92839963 "+" "downstream" 250829 205097 "NearestLocation" "GOLGA5"
"X2748.100616386" "chr1" 162159363 162159863 501 "*" 5.7 4.63 6.31 -1.68 3.08e-06 0.00161 "2748" "100616386" 162157107 162157182 "+" "downstream" 2256 2181 "NearestLocation" "MIR4654"
"X4219.10771" "chr10" 338904 339404 501 "*" 6.6 5.52 7.21 -1.69 3.14e-06 0.00163 "4219" "10771" 134465 254637 "+" "downstream" 204439 84267 "NearestLocation" "ZMYND11"
"X8286.100874249" "chr12" 31460001 31460501 501 "*" 5.89 4.7 6.53 -1.83 3.3e-06 0.00168 "8286" "100874249" 31589923 31615666 "+" "upstream" -129922 129422 "NearestLocation" "DENND5B-AS1"
"X4360.79754" "chr10" 5660070 5660570 501 "*" 5.77 4.7 6.37 -1.67 3.61e-06 0.0018 "4360" "79754" 5638867 5666595 "-" "inside" 6525 6025 "NearestLocation" "ASB13"
"X2176.5174" "chr1" 145708069 145708569 501 "*" 5.16 4.01 5.79 -1.77 3.63e-06 0.0018 "2176" "5174" 145670852 145708148 "-" "overlapStart" 79 79 "NearestLocation" "PDZK1"
"X34624.100422951" "chr6" 119967797 119968297 501 "*" 6.09 4.83 6.75 -1.92 3.68e-06 0.0018 "34624" "100422951" 120015179 120015257 "+" "upstream" -47382 46882 "NearestLocation" "MIR3144"
"X9192.8693" "chr12" 89464924 89465424 501 "*" 8.71 7.38 9.39 -2 3.69e-06 0.0018 "9192" "8693" 89519408 89524806 "-" "downstream" 59882 53984 "NearestLocation" "GALNT4"
"X185.10277" "chr1" 10018482 10018982 501 "*" 4.46 2.75 5.22 -2.47 3.78e-06 0.00181 "185" "10277" 10032832 10181239 "+" "upstream" -14350 13850 "NearestLocation" "UBE4B"
"X29400.51274" "chr4" 38621862 38622362 501 "*" 4.74 3.33 5.44 -2.11 3.81e-06 0.00181 "29400" "51274" 38664196 38701042 "+" "upstream" -42334 41834 "NearestLocation" "KLF3"
"X10455.3839" "chr13" 49775189 49775689 501 "*" 5.78 4.45 6.45 -2 4e-06 0.00188 "10455" "3839" 49699307 49792921 "-" "inside" 17732 17232 "NearestLocation" "KPNA3"
"X14393.57478" "chr16" 23137726 23138226 501 "*" 6.78 5.56 7.43 -1.87 4.08e-06 0.0019 "14393" "57478" 23061406 23149270 "-" "inside" 11544 11044 "NearestLocation" "USP31"
"X40406.64768" "chr9" 92618582 92619082 501 "*" 5.6 4.43 6.24 -1.81 4.2e-06 0.00193 "40406" "64768" 92613184 92670265 "-" "inside" 51683 5398 "NearestLocation" "IPPK"
"X14243.105447648" "chr16" 14364470 14364970 501 "*" 5.5 4.51 6.08 -1.57 4.34e-06 0.00197 "14243" "105447648" 14363109 14370266 "-" "inside" 5796 1361 "NearestLocation" "LINC02130"
"X9639.100616309" "chr12" 116390242 116390742 501 "*" 5.87 4.68 6.51 -1.83 4.42e-06 0.00199 "9639" "100616309" 116428252 116428318 "-" "downstream" 38076 37510 "NearestLocation" "MIR4472-2"
"X11836.100506476" "chr14" 73784699 73785199 501 "*" 6.13 4.89 6.79 -1.9 4.96e-06 0.00219 "11836" "100506476" 73787360 73803270 "+" "upstream" -2661 2161 "NearestLocation" "LOC100506476"
"X23661.5203" "chr20" 54195297 54195797 501 "*" 9.07 8.11 9.64 -1.52 4.97e-06 0.00219 "23661" "5203" 54207847 54228052 "+" "upstream" -12550 12050 "NearestLocation" "PFDN4"
"X4845.100130539" "chr10" 44173457 44173957 501 "*" 4.9 3.58 5.58 -2 5.15e-06 0.00225 "4845" "100130539" 44292569 44294649 "+" "upstream" -119112 118612 "NearestLocation" "C10orf142"
"X4081.101927851" "chr1" 234963284 234963784 501 "*" 5.69 4.62 6.3 -1.68 5.29e-06 0.00227 "4081" "101927851" 234957342 234970062 "-" "inside" 6778 5942 "NearestLocation" "LOC101927851"
"X10444.2862" "chr13" 49225726 49226226 501 "*" 3.78 1.83 4.58 -2.76 5.3e-06 0.00227 "10444" "2862" 49220338 49222377 "+" "downstream" 5388 3349 "NearestLocation" "MLNR"
"X19229.100616469" "chr2" 11532361 11532861 501 "*" 5.74 4.66 6.35 -1.69 5.5e-06 0.00233 "19229" "100616469" 11540605 11540677 "-" "downstream" 8316 7744 "NearestLocation" "MIR4429"
"X41186.114789" "chr9" 128047205 128047705 501 "*" 5.2 4.08 5.82 -1.74 5.73e-06 0.0024 "41186" "114789" 128068201 128109245 "+" "upstream" -20996 20496 "NearestLocation" "SLC25A25"
"X16155.9755" "chr17" 47693098 47693598 501 "*" 7.27 6.23 7.86 -1.63 6.09e-06 0.00253 "16155" "9755" 47694081 47712050 "+" "upstream" -983 483 "NearestLocation" "TBKBP1"
"X4590.56243" "chr10" 23663874 23664374 501 "*" 4.5 3.12 5.19 -2.07 6.56e-06 0.00269 "4590" "56243" 23694746 24547848 "+" "upstream" -30872 30372 "NearestLocation" "KIAA1217"
"X9222.1634" "chr12" 91613478 91613978 501 "*" 4.92 3.61 5.59 -1.97 6.81e-06 0.00277 "9222" "1634" 91140484 91183123 "-" "upstream" -430355 430355 "NearestLocation" "DCN"
"X20799.29842" "chr2" 121319897 121320397 501 "*" 4.99 3.55 5.7 -2.15 7.07e-06 0.00285 "20799" "29842" 121216587 121285207 "-" "upstream" -34690 34690 "NearestLocation" "TFCP2L1"
"X25810.7508" "chr3" 14202197 14202697 501 "*" 5.92 4.85 6.52 -1.68 7.17e-06 0.00286 "25810" "7508" 14145147 14178783 "-" "upstream" -23414 23414 "NearestLocation" "XPC"
"X5075.1959" "chr10" 62845292 62845792 501 "*" 6.03 4.88 6.66 -1.78 7.44e-06 0.00294 "5075" "1959" 62811996 62819167 "-" "upstream" -26125 26125 "NearestLocation" "EGR2"
"X11641.100847064" "chr14" 67480003 67480503 501 "*" 8.94 7.73 9.59 -1.86 7.67e-06 0.00299 "11641" "100847064" 67441855 67441930 "-" "upstream" -38073 38073 "NearestLocation" "MIR5694"
"X23217.101927457" "chr20" 48157929 48158429 501 "*" 6.89 5.92 7.47 -1.55 7.7e-06 0.00299 "23217" "101927457" 47980488 47988744 "-" "upstream" -169185 169185 "NearestLocation" "LINC01522"
"X11322.283551" "chr14" 50018338 50018838 501 "*" 5.81 4.8 6.39 -1.59 8.23e-06 0.00311 "11322" "283551" 49981712 50007520 "-" "upstream" -10818 10818 "NearestLocation" "LINC01588"
"X15144.29948" "chr16" 83946767 83947267 501 "*" 5.89 4.77 6.52 -1.75 8.29e-06 0.00311 "15144" "29948" 83948282 83966332 "+" "upstream" -1515 1015 "NearestLocation" "OSGIN1"
"X38639.79977" "chr8" 101466590 101467090 501 "*" 5.4 4.29 6.02 -1.73 8.3e-06 0.00311 "38639" "79977" 101492432 101669726 "+" "upstream" -25842 25342 "NearestLocation" "GRHL2"
"X1480.1952" "chr1" 109246154 109246654 501 "*" 5.93 4.78 6.56 -1.78 8.32e-06 0.00311 "1480" "1952" 109250019 109275750 "+" "upstream" -3865 3365 "NearestLocation" "CELSR2"
"X41676.25878" "chrX" 3470079 3470579 501 "*" 6.44 5.61 6.96 -1.35 8.53e-06 0.00314 "41676" "25878" 3308565 3346641 "-" "upstream" -123438 123438 "NearestLocation" "MXRA5"
"X23292.284749" "chr20" 48572062 48572562 501 "*" 6.97 5.82 7.6 -1.78 8.55e-06 0.00314 "23292" "284749" 48359950 48370629 "+" "downstream" 212112 201433 "NearestLocation" "LINC00494"
"X3399.9283" "chr1" 202112633 202113133 501 "*" 6.91 5.85 7.51 -1.66 9.18e-06 0.00334 "3399" "9283" 202122858 202133592 "+" "upstream" -10225 9725 "NearestLocation" "GPR37L1"
"X6188.81532" "chr11" 1485989 1486489 501 "*" 6 5.04 6.57 -1.53 9.46e-06 0.00342 "6188" "81532" 1469457 1501247 "-" "inside" 15258 14758 "NearestLocation" "MOB2"
"X19353.9741" "chr2" 20071905 20072405 501 "*" 8.56 7.74 9.09 -1.35 9.84e-06 0.00352 "19353" "9741" 20032650 20052028 "-" "upstream" -19877 19877 "NearestLocation" "LAPTM4A"
"X996.127254" "chr1" 74652561 74653061 501 "*" 7.59 6.77 8.11 -1.35 1.01e-05 0.00359 "996" "127254" 74568111 74673738 "-" "inside" 21177 20677 "NearestLocation" "ERICH3"
"X39365.83696" "chr8" 140257868 140258368 501 "*" 5.23 4.12 5.85 -1.73 1.08e-05 0.00381 "39365" "83696" 139730343 140458579 "-" "inside" 200711 200211 "NearestLocation" "TRAPPC9"
"X38045.254778" "chr8" 66512774 66513274 501 "*" 6.77 5.8 7.35 -1.55 1.11e-05 0.00386 "38045" "254778" 66460003 66518524 "+" "inside" 52771 5250 "NearestLocation" "C8orf46"
"X12147.100422981" "chr14" 95056355 95056855 501 "*" 5.84 4.71 6.47 -1.76 1.13e-05 0.00393 "12147" "100422981" 95137919 95137986 "-" "downstream" 81631 81064 "NearestLocation" "MIR3173"
"X14831.100506083" "chr16" 70390618 70391118 501 "*" 6.11 4.98 6.73 -1.75 1.17e-05 0.00397 "14831" "100506083" 70315640 70346747 "-" "upstream" -43871 43871 "NearestLocation" "LOC100506083"
"X17716.6860" "chr18" 43876541 43877041 501 "*" 4.67 3.29 5.37 -2.08 1.17e-05 0.00397 "17716" "6860" 43267878 43277650 "-" "upstream" -598891 598891 "NearestLocation" "SYT4"
"X41923.100616251" "chrX" 39895105 39895605 501 "*" 5.82 4.7 6.44 -1.74 1.18e-05 0.00397 "41923" "100616251" 39837561 39837613 "+" "downstream" 57544 57492 "NearestLocation" "MIR1587"
"X35839.285954" "chr7" 41559423 41559923 501 "*" 5.58 4.43 6.21 -1.78 1.2e-05 0.00402 "35839" "285954" 41693916 41779388 "+" "upstream" -134493 133993 "NearestLocation" "INHBA-AS1"
"X14165.116028" "chr16" 11128145 11128645 501 "*" 5.09 4.06 5.68 -1.62 1.22e-05 0.00404 "14165" "116028" 11249649 11351762 "+" "upstream" -121504 121004 "NearestLocation" "RMI2"
"X14081.115" "chr16" 4152266 4152766 501 "*" 6.39 5.2 7.03 -1.82 1.24e-05 0.00409 "14081" "115" 3953387 4116185 "-" "upstream" -36081 36081 "NearestLocation" "ADCY9"
"X12581.342184" "chr15" 33067637 33068137 501 "*" 5.87 4.82 6.47 -1.65 1.25e-05 0.0041 "12581" "342184" 32765545 33194733 "-" "inside" 127096 126596 "NearestLocation" "FMN1"
"X21264.55137" "chr2" 163626451 163626951 501 "*" 5.26 4.3 5.83 -1.53 1.27e-05 0.00412 "21264" "55137" 163593396 163736012 "-" "inside" 109561 33055 "NearestLocation" "FIGN"
"X26284.5364" "chr3" 48425043 48425543 501 "*" 4.74 3.37 5.43 -2.07 1.28e-05 0.00412 "26284" "5364" 48403854 48430051 "-" "inside" 5008 4508 "NearestLocation" "PLXNB1"
