peak_id	chrom	peak_start	peak_end	peak_midpoint	geneid	gene_symbol	gene_locus_start	gene_locus_end	nearest_tss	dist_to_tss	nearest_tss_gene	nearest_tss_gene_strand
361	chr20	58628051	58629051	58628551	284756	C20orf197	58601205	59229269	58630979	-2427	284756	+
479	chr20	59135166	59136166	59135666	284756	C20orf197	58601205	59229269	59053168	82497	100616362	+
399	chr20	31263684	31264684	31264184	284805	C20orf203	31192973	31296779	31261743	-2440	284805	-
281	chr20	39715165	39716165	39715665	29053	NA	39661968	39716316	39766160	-50494	5335	+
451	chr20	18698490	18699490	18698990	29075	LINC00652	18671592	18774927	18774626	75635	29075	-
295	chr20	23213096	23214096	23213596	29107	NXT1	23199176	23337095	23113273	-100322	200261	-
353	chr20	23318099	23319099	23318599	29107	NXT1	23199176	23337095	23331372	-12772	29107	+
20	chr20	30628206	30629206	30628706	3055	HCK	30625118	30668682	30639990	-11283	3055	+
176	chr20	22276540	22277540	22277040	3170	FOXA2	22125700	22565601	22401281	124240	284788	-
404	chr20	22439951	22440951	22440451	3170	FOXA2	22125700	22565601	22401281	-39169	284788	-
154	chr20	22660639	22661639	22661139	3170	FOXA2	22565602	22791079	22566101	-95037	3170	-
260	chr20	42999082	43000082	42999582	3172	HNF4A	42975034	43007182	42984440	15141	3172	+
99	chr20	30181220	30182220	30181720	3397	ID1	30164171	30209391	30193085	-11364	3397	+
359	chr20	956799	957799	957299	343637	RSPO4	939933	1038405	982907	25607	343637	-
160	chr20	2330171	2331171	2330671	343641	TGM6	2319084	2402623	2361553	-30881	343641	+
513	chr20	30575124	30576124	30575624	343702	XKR7	30547845	30577024	30555804	19819	343702	+
34	chr20	20421592	20422592	20422092	3642	INSM1	20277470	20428833	20348764	73327	3642	+
446	chr20	33864602	33865602	33865102	3692	EIF6	33843523	33872550	33865960	857	55741	-
458	chr20	48107065	48108065	48107565	3745	KCNB1	48099838	48142599	48100490	-7074	3745	-
421	chr20	48060668	48061668	48061168	3745	KCNB1	47998017	48099837	48099183	38014	3745	-
427	chr20	49776656	49777656	49777156	3755	KCNG1	49639647	49899467	49639675	-137480	3755	-
418	chr20	49837928	49838928	49838428	3755	KCNG1	49639647	49899467	49639675	-198752	3755	-
129	chr20	48781861	48782861	48782361	387521	TMEM189	48751416	48788855	48770335	-12025	387522	-
76	chr20	48758984	48759984	48759484	387521	TMEM189	48751416	48788855	48770335	10850	387522	-
382	chr20	55141434	55142434	55141934	388799	FAM209B	55104044	55156329	55108301	33632	388799	+
330	chr20	60942354	60943354	60942854	3911	LAMA5	60911366	60952244	60942368	-485	3911	-
428	chr20	60928678	60929678	60929178	3911	LAMA5	60911366	60952244	60942368	13189	3911	-
191	chr20	60930817	60932764	60931790	3911	LAMA5	60911366	60952244	60942368	10577	3911	-
532	chr20	44643342	44644342	44643842	4318	MMP9	44619191	44647683	44637546	6295	4318	+
202	chr20	44623902	44624902	44624402	4318	MMP9	44619191	44647683	44637546	-13143	4318	+
172	chr20	44621781	44622781	44622281	4318	MMP9	44619191	44647683	44637546	-15264	4318	+
66	chr20	42298914	42299914	42299414	4605	MYBL2	42257647	42325675	42295708	3705	4605	+
103	chr20	42301156	42302156	42301656	4605	MYBL2	42257647	42325675	42295708	5947	4605	+
369	chr20	62786354	62787354	62786854	4661	MYT1	62753593	62789485	62783143	3710	4661	+
169	chr20	62853271	62854271	62853771	4661	MYT1	62817387	62855024	62838946	14824	4661	+
459	chr20	62867322	62868322	62867822	4661	MYT1	62855025	62879075	62887047	-19224	55251	+
37	chr20	62869304	62870304	62869804	4661	MYT1	62855025	62879075	62887047	-17242	55251	+
388	chr20	62865703	62866703	62866203	4661	MYT1	62855025	62879075	62887047	-20843	55251	+
395	chr20	50050163	50051163	50050663	4773	NFATC2	49899468	50169213	50069514	18850	100422889	-
282	chr20	50062906	50063906	50063406	4773	NFATC2	49899468	50169213	50069514	6107	100422889	-
15	chr20	50003761	50004761	50004261	4773	NFATC2	49899468	50169213	50069514	65252	100422889	-
286	chr20	50118323	50119323	50118823	4773	NFATC2	49899468	50169213	50159258	40434	4773	-
168	chr20	61382330	61383330	61382830	4923	NTSR1	61319643	61383996	61408208	25377	100652730	-
173	chr20	62711505	62712505	62712005	4987	OPRL1	62711407	62713600	62711470	534	4987	+
44	chr20	3049291	3050291	3049791	5020	OXT	3039471	3058818	3052265	-2473	5020	+
462	chr20	62283095	62284095	62283595	50861	STMN3	62271582	62287213	62284119	523	50861	-
358	chr20	57616016	57617016	57616516	51012	SLMO2	57612663	57691988	57617901	1384	100533975	-
264	chr20	56152342	56153342	56152842	5105	PCK1	56118423	56165884	56136136	16705	5105	+
506	chr20	17339250	17340250	17339750	5126	PCSK2	17325855	17478045	17207596	132153	5126	+
494	chr20	20057599	20058599	20058099	51340	CRNKL1	20034944	20119637	20037289	20809	26074	+
201	chr20	933879	934879	934379	51378	ANGPT4	861364	939932	896960	-37418	51378	-
309	chr20	883667	884667	884167	51378	ANGPT4	861364	939932	896960	12792	51378	-
141	chr20	32000029	32001029	32000529	51654	CDK5RAP1	31975147	32010518	31989375	-11153	51654	-
184	chr20	62322086	62323086	62322586	51750	RTEL1	62305845	62323598	62321102	1483	100533107	+
145	chr20	52885247	52886247	52885747	5203	PFDN4	52807510	52958379	52824501	61245	5203	+
1	chr20	52811534	52812534	52812034	5203	PFDN4	52807510	52958379	52824501	-12466	5203	+
311	chr20	9252903	9253903	9253403	5332	PLCB4	9214257	9423425	9288446	-35042	5332	+
182	chr20	7671989	7672989	7672489	54363	HAO1	7334920	7960743	7921093	248603	54363	-
530	chr20	7347707	7348707	7348207	54363	HAO1	7334920	7960743	7921093	572885	54363	-
340	chr20	19755926	19756926	19756426	54453	RIN2	19531750	19892976	19867164	-110737	54453	+
178	chr20	19738733	19739733	19739233	54453	RIN2	19531750	19892976	19867164	-127930	54453	+
406	chr20	19949036	19950036	19949536	54453	RIN2	19892977	19956839	19915742	33793	54453	+
244	chr20	19944797	19945797	19945297	54453	RIN2	19892977	19956839	19915742	29554	54453	+
105	chr20	19747457	19748457	19747957	54453	RIN2	19531750	19892976	19867164	-119206	54453	+
435	chr20	19772558	19773558	19773058	54453	RIN2	19531750	19892976	19867164	-94105	54453	+
26	chr20	19561885	19562885	19562385	54453	RIN2	19531750	19892976	19265240	-297144	100130264	-
121	chr20	19764352	19765352	19764852	54453	RIN2	19531750	19892976	19867164	-102311	54453	+
394	chr20	4118276	4119276	4118776	54498	SMOX	4062834	4140903	4129425	-10648	54498	+
51	chr20	4116863	4117863	4117363	54498	SMOX	4062834	4140903	4129425	-12061	54498	+
114	chr20	4141838	4142838	4142338	54498	SMOX	4140904	4191008	4152356	-10017	54498	+
485	chr20	4152421	4153421	4152921	54498	SMOX	4140904	4191008	4152356	564	54498	+
263	chr20	4115714	4116714	4116214	54498	SMOX	4062834	4140903	4129425	-13210	54498	+
302	chr20	4135224	4136224	4135724	54498	SMOX	4062834	4140903	4129425	6298	54498	+
246	chr20	4089988	4090988	4090488	54498	SMOX	4062834	4140903	4129425	-38936	54498	+
28	chr20	61829636	61830636	61830136	54915	YTHDF1	61790606	61857407	61839970	9833	54915	-
90	chr20	62582512	62583512	62583012	54963	UCKL1	62580444	62594493	62582527	-484	54963	-
412	chr20	3061293	3062293	3061793	551	AVP	3058819	3102955	3065370	3576	551	-
473	chr20	62917711	62918711	62918211	55251	PCMTD2	62879076	62965519	62921737	-3525	140849	+
402	chr20	12872703	12873703	12873203	55304	SPTLC3	12444096	13096022	12989626	-116422	55304	+
104	chr20	13039222	13040222	13039722	55304	SPTLC3	12444096	13096022	12989626	50095	55304	+
315	chr20	56843041	56844041	56843541	55370	PPP4R1L	56773646	56852902	56821308	-22232	55370	-
516	chr20	56869222	56870222	56869722	55370	PPP4R1L	56852903	56884633	56884495	14772	55370	-
224	chr20	56839212	56840212	56839712	55370	PPP4R1L	56773646	56852902	56821308	-18403	55370	-
305	chr20	56826634	56827634	56827134	55370	PPP4R1L	56773646	56852902	56821308	-5825	55370	-
498	chr20	16519583	16520583	16520083	55614	KIF16B	16457444	16632353	16554079	33995	55614	-
379	chr20	16394552	16395552	16395052	55614	KIF16B	16163621	16457443	16360808	-34243	55614	-
212	chr20	16508478	16509478	16508978	55614	KIF16B	16457444	16632353	16554079	45100	55614	-
279	chr20	16522808	16523808	16523308	55614	KIF16B	16457444	16632353	16554079	30770	55614	-
27	chr20	49414884	49415884	49415384	55653	BCAS4	49379774	49479497	49411466	3917	55653	+
3	chr20	49380339	49381339	49380839	55653	BCAS4	49379774	49479497	49411466	-30626	55653	+
233	chr20	49431131	49432131	49431631	55653	BCAS4	49379774	49479497	49411466	20164	55653	+
